id,course_id,date,hour,location,address
32,7,2020-02-08,13:00:00,"Appartamento 77","Via Evangelista 627 Appartamento 64"
33,7,2020-06-13,14:40:00,"Appartamento 85","Rotonda Giuliani 32 Appartamento 25"
34,7,2020-07-10,11:40:00,"Piano 4","Via Carmela 705 Appartamento 06"
35,7,2020-09-06,16:40:00,"Piano 4","Contrada Flaviana 1"
36,8,2020-01-28,13:40:00,"Appartamento 35","Strada Rossetti 6 Appartamento 88"
37,8,2020-02-08,09:20:00,"Appartamento 60","Incrocio Morelli 68"
38,8,2020-06-10,14:30:00,"Piano 4","Rotonda Marchetti 4"
39,8,2020-07-14,16:40:00,"Piano 0","Strada Piras 987 Appartamento 20"
40,8,2020-09-10,13:45:00,"Appartamento 55","Via Nabil 3"
41,9,2020-01-13,16:20:00,"Piano 0","Via Cattaneo 570 Appartamento 38"
42,9,2020-02-07,14:00:00,"Piano 8","Strada Morelli 553"
43,9,2020-06-15,15:15:00,"Piano 0","Borgo Edvige 61 Piano 2"
44,9,2020-07-06,13:40:00,"Appartamento 37","Rotonda Enrico 68"
45,9,2020-09-21,16:20:00,"Appartamento 92","Via Pellegrini 23"
46,10,2020-01-27,10:40:00,"Piano 4","Incrocio Augusto 157 Appartamento 57"
47,10,2020-02-04,10:45:00,"Piano 8","Borgo Leone 927"
48,10,2020-06-20,14:15:00,"Piano 2","Rotonda Loredana 103 Piano 3"
49,10,2020-07-18,14:15:00,"Piano 0","Via Farina 966"
50,10,2020-09-07,16:30:00,"Piano 0","Piazza Pellegrino 58 Piano 7"
51,11,2020-01-14,13:00:00,"Piano 9","Borgo Cosetta 8 Appartamento 94"
52,11,2020-02-10,10:40:00,"Appartamento 96","Contrada Michele 501"
53,11,2020-06-20,09:15:00,"Appartamento 19","Borgo Maristella 345"
54,11,2020-07-06,15:00:00,"Appartamento 51","Via Martino 84 Appartamento 78"
55,11,2020-09-04,10:40:00,"Appartamento 43","Piazza Eustachio 6 Appartamento 35"
56,12,2020-01-10,14:20:00,"Piano 4","Contrada Dindo 89"
57,12,2020-02-04,13:40:00,"Appartamento 93","Borgo Tazio 484"
58,12,2020-06-24,11:20:00,"Piano 3","Borgo Rodolfo 79"
59,12,2020-07-05,16:20:00,"Appartamento 75","Borgo Costantini 26 Appartamento 08"
60,12,2020-09-24,10:40:00,"Piano 8","Incrocio Ione 645"
61,13,2020-01-12,12:00:00,"Piano 3","Contrada Jari 8"
62,13,2020-02-07,13:20:00,"Appartamento 80","Via Ruggiero 5 Appartamento 50"
63,13,2020-06-23,16:15:00,"Piano 3","Incrocio Concetta 4"
64,13,2020-07-12,10:20:00,"Appartamento 76","Rotonda Terzo 73"
65,13,2020-09-25,11:30:00,"Appartamento 90","Strada Barbieri 8"
66,14,2020-01-11,14:40:00,"Appartamento 00","Incrocio Enrico 8"
67,14,2020-02-03,10:45:00,"Piano 4","Borgo Rosita 813 Appartamento 27"
68,14,2020-06-18,11:40:00,"Appartamento 67","Piazza Luna 350 Piano 1"
69,14,2020-07-07,10:45:00,"Appartamento 48","Borgo Damico 1 Piano 5"
70,14,2020-09-20,16:00:00,"Piano 3","Rotonda Fabbri 6 Appartamento 55"
71,15,2020-01-20,15:40:00,"Appartamento 36","Contrada Jack 50"
72,15,2020-02-04,13:40:00,"Piano 8","Incrocio Gianantonio 594"
73,15,2020-06-19,14:20:00,"Piano 9","Rotonda Fiore 93"
74,15,2020-07-14,15:00:00,"Appartamento 09","Rotonda Farina 431"
75,15,2020-09-24,15:45:00,"Piano 2","Piazza Martino 24"
76,16,2020-01-27,13:40:00,"Piano 0","Via Rosita 735 Piano 7"
77,16,2020-02-08,11:15:00,"Appartamento 94","Contrada Silverio 1"
78,16,2020-06-16,09:40:00,"Appartamento 96","Contrada Ruggiero 425"
79,16,2020-07-04,10:30:00,"Piano 3","Borgo Giulietta 9"
80,16,2020-09-14,15:45:00,"Piano 4","Incrocio Matilde 14 Piano 8"
81,17,2020-01-19,14:45:00,"Piano 7","Contrada Ivonne 96 Appartamento 53"
82,17,2020-02-02,12:00:00,"Appartamento 61","Incrocio Monia 2 Piano 0"
83,17,2020-06-26,09:40:00,"Piano 3","Incrocio Damico 54"
84,17,2020-07-12,15:40:00,"Piano 2","Incrocio Ruth 11 Piano 1"
85,17,2020-09-13,16:30:00,"Appartamento 98","Contrada Ferraro 72 Appartamento 91"
86,18,2020-01-23,14:20:00,"Piano 1","Incrocio Palmieri 7 Appartamento 42"
87,18,2020-02-02,11:30:00,"Appartamento 48","Strada Akira 7 Piano 3"
88,18,2020-06-18,15:00:00,"Appartamento 90","Rotonda Enrico 298 Piano 9"
89,18,2020-07-07,12:40:00,"Appartamento 55","Contrada Nazzareno 49"
90,18,2020-09-12,09:20:00,"Piano 9","Strada Alighiero 52 Appartamento 87"
91,19,2020-01-13,09:45:00,"Appartamento 76","Strada Ortensia 614"
92,19,2020-02-06,11:40:00,"Piano 3","Incrocio Nicoletta 247"
93,19,2020-06-11,14:20:00,"Appartamento 39","Incrocio Pagano 691"
94,19,2020-07-10,11:30:00,"Piano 5","Borgo Giovanna 1"
95,19,2020-09-04,10:00:00,"Piano 5","Rotonda Sanna 4 Appartamento 88"
96,20,2020-01-15,16:45:00,"Piano 8","Rotonda Pellegrino 10 Piano 3"
97,20,2020-02-08,11:00:00,"Appartamento 07","Borgo Sanna 2 Appartamento 77"
98,20,2020-06-21,12:30:00,"Piano 3","Piazza Ubaldo 5"
99,20,2020-07-10,12:20:00,"Piano 5","Borgo Valentini 5"
100,20,2020-09-25,10:45:00,"Appartamento 63","Strada Rizzi 894"
101,21,2020-01-22,11:00:00,"Piano 0","Piazza Amerigo 361 Piano 9"
102,21,2020-02-10,09:45:00,"Piano 8","Via Neri 745 Appartamento 55"
103,21,2020-06-23,13:30:00,"Appartamento 73","Strada Serra 59"
104,21,2020-07-08,14:00:00,"Appartamento 31","Incrocio Penelope 52"
105,21,2020-09-15,14:00:00,"Appartamento 53","Contrada Joshua 97 Appartamento 32"
106,22,2020-01-19,11:40:00,"Piano 3","Contrada Lauro 1"
107,22,2020-02-04,12:15:00,"Piano 3","Via Giuliani 786"
108,22,2020-06-26,10:20:00,"Appartamento 75","Strada Sue ellen 2"
109,22,2020-07-15,10:30:00,"Appartamento 90","Rotonda Pericle 186 Appartamento 39"
110,22,2020-09-19,11:00:00,"Appartamento 14","Piazza Erminia 571 Appartamento 25"
111,23,2020-01-14,13:40:00,"Appartamento 38","Rotonda Hector 58"
112,23,2020-02-03,14:30:00,"Piano 2","Incrocio Costanzo 342 Appartamento 83"
113,23,2020-06-24,16:45:00,"Piano 2","Borgo Fortunata 4 Appartamento 45"
114,23,2020-07-06,14:45:00,"Appartamento 12","Borgo Ricci 78 Piano 5"
115,23,2020-09-12,12:20:00,"Piano 0","Rotonda Colombo 145"
116,24,2020-01-24,16:45:00,"Piano 3","Incrocio Evita 23 Appartamento 96"
117,24,2020-02-04,14:15:00,"Piano 1","Contrada Cattaneo 95 Appartamento 28"
118,24,2020-06-16,16:45:00,"Appartamento 03","Borgo Tosca 125"
119,24,2020-07-06,09:45:00,"Appartamento 80","Via Prisca 846 Piano 4"
120,24,2020-09-21,11:45:00,"Appartamento 37","Strada Danthon 955"
121,25,2020-01-27,16:00:00,"Appartamento 17","Strada Eliziario 5"
122,25,2020-02-08,09:30:00,"Piano 9","Contrada Bettino 9"
123,25,2020-06-10,10:15:00,"Appartamento 03","Borgo Bernardi 970"
124,25,2020-07-10,14:45:00,"Appartamento 65","Rotonda Costa 3"
125,25,2020-09-05,14:20:00,"Piano 7","Via Oreste 35"
126,26,2020-01-16,11:15:00,"Piano 7","Strada Riva 92"
127,26,2020-02-06,09:15:00,"Appartamento 28","Contrada Danthon 28 Piano 5"
128,26,2020-06-16,12:20:00,"Piano 3","Via Caruso 223"
129,26,2020-07-17,09:40:00,"Appartamento 84","Incrocio Coppola 960 Piano 6"
130,26,2020-09-15,09:00:00,"Appartamento 10","Piazza Loretta 5 Appartamento 15"
131,27,2020-01-18,09:00:00,"Appartamento 96","Strada Clodovea 2"
132,27,2020-02-10,16:20:00,"Appartamento 40","Rotonda Luna 269"
133,27,2020-06-15,16:45:00,"Piano 5","Via Evita 6"
134,27,2020-07-16,13:15:00,"Piano 2","Incrocio Coppola 9"
135,27,2020-09-20,09:00:00,"Piano 1","Piazza Donati 106 Piano 9"
136,28,2020-01-26,15:40:00,"Appartamento 14","Borgo Conti 33 Appartamento 35"
137,28,2020-02-06,13:15:00,"Appartamento 19","Incrocio Boris 7 Appartamento 76"
138,28,2020-06-27,14:40:00,"Piano 5","Incrocio Serse 4"
139,28,2020-07-11,12:40:00,"Appartamento 98","Borgo Fabbri 27 Appartamento 90"
140,28,2020-09-19,12:15:00,"Appartamento 21","Incrocio Luce 40"
141,29,2020-01-16,16:45:00,"Appartamento 19","Strada De luca 991 Piano 8"
142,29,2020-02-09,10:40:00,"Appartamento 61","Incrocio Marzio 831"
143,29,2020-06-20,13:40:00,"Piano 3","Contrada Caruso 946 Appartamento 74"
144,29,2020-07-04,13:45:00,"Piano 7","Borgo Giacinta 28"
145,29,2020-09-24,15:40:00,"Appartamento 59","Contrada Hector 405 Appartamento 22"
146,30,2020-01-22,10:20:00,"Appartamento 02","Piazza Cattaneo 781"
147,30,2020-02-10,13:00:00,"Piano 0","Contrada Damico 674 Appartamento 90"
148,30,2020-06-15,16:40:00,"Appartamento 41","Via Enzo 257"
149,30,2020-07-17,15:20:00,"Piano 9","Strada Basile 5"
150,30,2020-09-13,16:20:00,"Piano 4","Incrocio Santoro 61 Piano 1"
151,31,2020-01-24,15:40:00,"Appartamento 55","Via Maruska 81"
152,31,2020-02-07,14:30:00,"Appartamento 68","Borgo Sandro 2"
153,31,2020-06-17,14:40:00,"Piano 6","Contrada Marchetti 91 Piano 4"
154,31,2020-07-14,14:40:00,"Piano 3","Contrada Piras 585 Appartamento 81"
155,31,2020-09-21,12:15:00,"Appartamento 97","Rotonda Benedetti 3 Appartamento 19"
156,32,2020-01-21,15:30:00,"Appartamento 53","Via Valdo 74"
157,32,2020-02-03,10:30:00,"Appartamento 08","Piazza Fatima 5"
158,32,2020-06-26,10:45:00,"Appartamento 17","Contrada Palumbo 7"
159,32,2020-07-19,14:20:00,"Appartamento 29","Strada Demi 252"
160,32,2020-09-06,15:15:00,"Appartamento 39","Contrada Cesidia 7"
161,33,2020-01-20,09:30:00,"Piano 4","Rotonda De luca 4 Piano 8"
162,33,2020-02-06,13:20:00,"Appartamento 26","Borgo Gentile 2 Appartamento 47"
163,33,2020-06-16,14:20:00,"Appartamento 32","Strada Giacinto 17"
164,33,2020-07-10,13:30:00,"Piano 0","Piazza Noemi 6"
165,33,2020-09-12,16:00:00,"Piano 5","Contrada Sala 272 Piano 2"
166,34,2020-01-20,11:00:00,"Piano 0","Via Erminia 281"
167,34,2020-02-10,14:20:00,"Piano 3","Piazza Giuliani 748"
168,34,2020-06-25,14:20:00,"Piano 7","Piazza Palumbo 3"
169,34,2020-07-19,10:00:00,"Piano 4","Strada Nabil 4"
170,34,2020-09-20,16:20:00,"Piano 8","Incrocio Ursula 706 Piano 8"
171,35,2020-01-21,10:00:00,"Appartamento 67","Piazza Violante 8 Appartamento 36"
172,35,2020-02-09,10:00:00,"Appartamento 16","Contrada Bernardo 49 Appartamento 38"
173,35,2020-06-17,14:15:00,"Appartamento 94","Contrada Martini 98 Appartamento 11"
174,35,2020-07-04,15:30:00,"Piano 8","Via Emilia 68"
175,35,2020-09-04,10:00:00,"Appartamento 42","Borgo Russo 8 Piano 3"
176,36,2020-01-11,09:45:00,"Appartamento 08","Contrada Rebecca 34 Piano 4"
177,36,2020-02-10,16:00:00,"Appartamento 10","Borgo Violante 541 Piano 6"
178,36,2020-06-17,12:00:00,"Appartamento 28","Rotonda Egisto 6"
179,36,2020-07-07,11:00:00,"Appartamento 87","Incrocio Alberto 43 Appartamento 45"
180,36,2020-09-20,10:30:00,"Appartamento 21","Rotonda Russo 507"
181,37,2020-01-28,16:00:00,"Appartamento 00","Incrocio De luca 68"
182,37,2020-02-03,12:20:00,"Piano 4","Contrada Sue ellen 26"
183,37,2020-06-24,10:20:00,"Appartamento 07","Via Cesidia 917 Piano 3"
184,37,2020-07-15,11:00:00,"Piano 7","Piazza Lucia 54"
185,37,2020-09-20,14:45:00,"Piano 1","Strada Elga 510 Piano 1"
186,38,2020-01-22,09:45:00,"Appartamento 89","Borgo De Angelis 244 Appartamento 76"
187,38,2020-02-10,12:30:00,"Appartamento 98","Rotonda Farina 85"
188,38,2020-06-19,14:45:00,"Piano 4","Piazza Giordano 549"
189,38,2020-07-14,13:30:00,"Appartamento 77","Borgo Max 7"
190,38,2020-09-14,16:00:00,"Piano 2","Contrada Jari 6 Piano 4"
191,39,2020-01-10,14:15:00,"Appartamento 89","Rotonda Mietta 24"
192,39,2020-02-05,12:30:00,"Appartamento 22","Contrada Pellegrino 137 Piano 1"
193,39,2020-06-21,13:40:00,"Appartamento 34","Borgo Grassi 4 Appartamento 97"
194,39,2020-07-15,11:00:00,"Appartamento 93","Incrocio Cleopatra 3 Piano 9"
195,39,2020-09-24,12:40:00,"Piano 6","Piazza Bernardi 81"
196,40,2020-01-27,15:20:00,"Piano 6","Incrocio Fontana 750"
197,40,2020-02-07,10:00:00,"Piano 9","Piazza Nunzia 38"
198,40,2020-06-28,09:00:00,"Piano 4","Contrada Quasimodo 99"
199,40,2020-07-07,12:40:00,"Appartamento 55","Incrocio Amedeo 2"
200,40,2020-09-25,09:45:00,"Piano 6","Via Domingo 18"
201,41,2020-01-25,14:20:00,"Appartamento 00","Via Ileana 924"
202,41,2020-02-03,09:00:00,"Piano 5","Rotonda Lidia 752 Piano 8"
203,41,2020-06-20,12:40:00,"Appartamento 28","Rotonda Silverio 36"
204,41,2020-07-04,14:00:00,"Piano 4","Rotonda Ingrid 87"
205,41,2020-09-18,11:30:00,"Piano 1","Contrada Felicia 858"
206,42,2020-01-13,10:40:00,"Piano 8","Piazza Eusebio 49"
207,42,2020-02-07,14:20:00,"Piano 4","Rotonda Bianchi 7 Appartamento 05"
208,42,2020-06-17,15:20:00,"Appartamento 48","Rotonda De Santis 36"
209,42,2020-07-20,11:40:00,"Appartamento 85","Contrada Benedetti 395"
210,42,2020-09-20,11:30:00,"Appartamento 94","Strada Amato 2"
211,43,2020-01-16,12:40:00,"Piano 1","Incrocio Marco 9"
212,43,2020-02-10,16:45:00,"Piano 0","Piazza Joshua 6 Appartamento 93"
213,43,2020-06-11,10:30:00,"Appartamento 07","Contrada Caputo 70"
214,43,2020-07-20,13:30:00,"Appartamento 90","Piazza Edvige 428 Piano 1"
215,43,2020-09-21,13:40:00,"Appartamento 79","Rotonda Matteo 7 Piano 5"
216,44,2020-01-17,12:15:00,"Appartamento 59","Via Bortolo 98"
217,44,2020-02-04,15:00:00,"Appartamento 10","Piazza Laura 864"
218,44,2020-06-11,09:15:00,"Appartamento 25","Via Assia 92"
219,44,2020-07-04,16:00:00,"Piano 1","Via Parisi 417"
220,44,2020-09-16,10:40:00,"Appartamento 00","Incrocio Nicoletta 54 Piano 4"
221,45,2020-01-27,12:40:00,"Appartamento 38","Via Gallo 94"
222,45,2020-02-10,14:00:00,"Appartamento 51","Via Sasha 1 Appartamento 15"
223,45,2020-06-10,12:15:00,"Piano 8","Borgo Priamo 8 Piano 0"
224,45,2020-07-11,15:45:00,"Appartamento 28","Rotonda Santoro 7 Appartamento 76"
225,45,2020-09-17,15:20:00,"Appartamento 80","Borgo Mariagiulia 3"
226,46,2020-01-20,09:30:00,"Piano 3","Strada Arcibaldo 8"
227,46,2020-02-10,09:20:00,"Appartamento 17","Piazza Fiore 610"
228,46,2020-06-17,09:15:00,"Appartamento 04","Strada Amato 896 Appartamento 36"
229,46,2020-07-10,09:45:00,"Appartamento 03","Incrocio Neri 9 Piano 2"
230,46,2020-09-21,16:45:00,"Appartamento 46","Strada Selvaggia 31"
231,47,2020-01-24,13:20:00,"Piano 0","Piazza Silvano 22 Appartamento 99"
232,47,2020-02-08,10:30:00,"Appartamento 30","Via Messina 343"
233,47,2020-06-14,10:00:00,"Appartamento 03","Piazza Ludovico 914"
234,47,2020-07-06,11:40:00,"Appartamento 69","Strada Walter 8"
235,47,2020-09-19,09:15:00,"Piano 9","Contrada Battaglia 58 Appartamento 55"
236,48,2020-01-10,09:45:00,"Appartamento 38","Strada Caputo 5 Appartamento 03"
237,48,2020-02-10,11:20:00,"Appartamento 25","Incrocio Soriana 3 Appartamento 44"
238,48,2020-06-22,14:45:00,"Appartamento 37","Piazza Augusto 7 Piano 4"
239,48,2020-07-16,09:30:00,"Piano 8","Contrada Fortunata 14 Piano 1"
240,48,2020-09-17,12:30:00,"Piano 8","Contrada De luca 524 Appartamento 91"
241,49,2020-01-23,10:15:00,"Piano 5","Rotonda Barbieri 922 Piano 4"
242,49,2020-02-04,14:30:00,"Piano 2","Contrada Silvestri 67 Piano 5"
243,49,2020-06-23,09:30:00,"Appartamento 48","Piazza Cattaneo 80 Piano 6"
244,49,2020-07-17,09:45:00,"Appartamento 36","Borgo Emanuel 2 Piano 5"
245,49,2020-09-25,12:20:00,"Piano 8","Strada Palumbo 985 Appartamento 33"
246,50,2020-01-11,12:15:00,"Appartamento 64","Piazza Bruno 1"
247,50,2020-02-07,16:30:00,"Appartamento 43","Contrada Michael 85 Appartamento 48"
248,50,2020-06-19,15:00:00,"Appartamento 18","Incrocio Ricci 612"
249,50,2020-07-15,15:20:00,"Piano 2","Rotonda Vitalba 8"
250,50,2020-09-13,10:40:00,"Piano 7","Incrocio Sibilla 3"
251,51,2020-01-23,12:00:00,"Appartamento 28","Incrocio Matilde 742"
252,51,2020-02-09,16:30:00,"Piano 6","Contrada Montanari 39"
253,51,2020-06-24,14:15:00,"Appartamento 66","Contrada Lombardi 79 Appartamento 89"
254,51,2020-07-11,12:40:00,"Piano 7","Contrada Elsa 25 Appartamento 23"
255,51,2020-09-11,15:00:00,"Appartamento 82","Contrada Jelena 766 Piano 1"
256,52,2020-01-15,11:30:00,"Appartamento 91","Strada Penelope 499"
257,52,2020-02-02,12:15:00,"Piano 3","Rotonda Caputo 51 Appartamento 87"
258,52,2020-06-12,16:40:00,"Piano 4","Via Negri 90 Appartamento 32"
259,52,2020-07-07,09:20:00,"Piano 2","Borgo Pagano 740 Appartamento 07"
260,52,2020-09-05,16:45:00,"Piano 2","Rotonda Elsa 755 Appartamento 03"
261,53,2020-01-20,16:30:00,"Appartamento 46","Strada Giordano 252 Piano 1"
262,53,2020-02-05,14:40:00,"Appartamento 31","Piazza Marino 8"
263,53,2020-06-23,14:15:00,"Appartamento 50","Via Gianmarco 275"
264,53,2020-07-07,11:00:00,"Piano 3","Piazza Cirino 59 Appartamento 23"
265,53,2020-09-15,15:40:00,"Appartamento 14","Contrada Marieva 6 Piano 6"
266,54,2020-01-25,14:20:00,"Appartamento 96","Rotonda Pellegrini 254"
267,54,2020-02-05,15:30:00,"Piano 0","Via Caruso 705"
268,54,2020-06-10,15:40:00,"Piano 9","Incrocio Gianmarco 21"
269,54,2020-07-07,15:40:00,"Piano 8","Contrada Penelope 32 Piano 8"
270,54,2020-09-10,11:45:00,"Appartamento 60","Via Danuta 84"
271,55,2020-01-21,16:20:00,"Appartamento 83","Strada Sanna 617"
272,55,2020-02-02,11:45:00,"Piano 6","Contrada Rossetti 29"
273,55,2020-06-12,13:20:00,"Appartamento 64","Contrada Edipo 4 Appartamento 56"
274,55,2020-07-13,13:30:00,"Piano 9","Incrocio Carbone 961"
275,55,2020-09-18,11:20:00,"Appartamento 06","Incrocio Teseo 683 Appartamento 97"
276,56,2020-01-25,16:40:00,"Piano 3","Borgo Silvestri 10 Appartamento 82"
277,56,2020-02-04,10:00:00,"Appartamento 34","Rotonda Jari 5 Piano 1"
278,56,2020-06-23,09:40:00,"Piano 2","Piazza Grasso 18"
279,56,2020-07-19,14:30:00,"Appartamento 82","Piazza Luce 1"
280,56,2020-09-23,13:45:00,"Piano 8","Strada Bruno 9 Appartamento 98"
281,57,2020-01-13,16:15:00,"Piano 6","Contrada Sartori 9 Appartamento 17"
282,57,2020-02-09,13:45:00,"Piano 2","Incrocio Silvestri 1 Appartamento 35"
283,57,2020-06-15,11:45:00,"Appartamento 26","Piazza Fiorenzo 912"
284,57,2020-07-18,13:00:00,"Piano 2","Strada Claudia 3"
285,57,2020-09-25,09:45:00,"Appartamento 59","Contrada Messina 20"
286,58,2020-01-15,15:45:00,"Piano 2","Borgo Emanuel 970 Appartamento 15"
287,58,2020-02-04,10:00:00,"Appartamento 08","Piazza Lia 112 Appartamento 26"
288,58,2020-06-15,15:30:00,"Appartamento 51","Contrada Odino 642 Appartamento 37"
289,58,2020-07-14,09:15:00,"Appartamento 32","Contrada Damiana 74"
290,58,2020-09-07,15:45:00,"Piano 1","Incrocio Caputo 4 Piano 2"
291,59,2020-01-10,16:15:00,"Appartamento 20","Piazza Piras 6"
292,59,2020-02-04,15:15:00,"Appartamento 93","Borgo Lombardi 3 Piano 0"
293,59,2020-06-10,15:15:00,"Piano 7","Contrada Michele 5 Piano 1"
294,59,2020-07-09,10:20:00,"Appartamento 69","Incrocio Ethan 90"
295,59,2020-09-15,14:40:00,"Appartamento 15","Piazza Gentile 7 Piano 8"
296,60,2020-01-26,13:20:00,"Appartamento 98","Contrada Michele 406"
297,60,2020-02-04,16:20:00,"Piano 1","Strada Samira 552 Appartamento 96"
298,60,2020-06-27,14:15:00,"Appartamento 27","Strada Orlando 871 Piano 2"
299,60,2020-07-17,10:30:00,"Appartamento 35","Piazza Carmelo 251 Piano 7"
300,60,2020-09-22,09:00:00,"Appartamento 91","Piazza Kai 245"
301,61,2020-01-25,11:45:00,"Appartamento 43","Borgo Martini 944"
302,61,2020-02-03,09:45:00,"Appartamento 24","Piazza Matilde 96"
303,61,2020-06-25,12:40:00,"Appartamento 25","Via Brigitta 40 Appartamento 29"
304,61,2020-07-19,11:20:00,"Piano 9","Incrocio D'amico 981 Appartamento 68"
305,61,2020-09-25,12:00:00,"Piano 8","Borgo Noel 719 Appartamento 54"
306,62,2020-01-20,15:40:00,"Piano 4","Incrocio Caligola 898 Appartamento 79"
307,62,2020-02-02,12:20:00,"Piano 2","Piazza Martino 4"
308,62,2020-06-27,14:40:00,"Appartamento 36","Contrada Teseo 269"
309,62,2020-07-13,13:45:00,"Appartamento 55","Piazza Leone 421 Piano 4"
310,62,2020-09-17,16:40:00,"Appartamento 66","Incrocio Vitali 434 Appartamento 17"
311,63,2020-01-22,10:20:00,"Appartamento 68","Piazza Bruno 580 Appartamento 22"
312,63,2020-02-04,11:30:00,"Piano 9","Strada Armando 232"
313,63,2020-06-19,16:15:00,"Piano 8","Contrada Barone 9 Piano 0"
314,63,2020-07-05,13:00:00,"Piano 1","Via Eufemia 3 Appartamento 04"
315,63,2020-09-14,10:20:00,"Appartamento 66","Rotonda Enzo 98"
316,64,2020-01-17,11:40:00,"Piano 5","Incrocio Giorgio 708"
317,64,2020-02-04,13:40:00,"Appartamento 39","Contrada Ileana 68 Appartamento 99"
318,64,2020-06-28,12:45:00,"Appartamento 02","Contrada Fatima 36 Appartamento 78"
319,64,2020-07-16,10:20:00,"Appartamento 94","Contrada Jole 84"
320,64,2020-09-09,16:30:00,"Piano 9","Rotonda Sibilla 43 Piano 7"
321,65,2020-01-13,15:45:00,"Appartamento 20","Piazza Giacinto 3"
322,65,2020-02-07,13:15:00,"Piano 6","Rotonda Rizzo 41 Appartamento 06"
323,65,2020-06-16,14:40:00,"Appartamento 44","Incrocio Rinaldi 357"
324,65,2020-07-11,15:45:00,"Piano 6","Contrada Messina 404 Appartamento 76"
325,65,2020-09-22,14:15:00,"Piano 2","Via Gregorio 2 Appartamento 82"
326,66,2020-01-16,13:00:00,"Piano 1","Strada Marchetti 394 Piano 9"
327,66,2020-02-07,13:15:00,"Appartamento 50","Contrada Emilia 142 Appartamento 58"
328,66,2020-06-27,10:20:00,"Piano 5","Rotonda Gianmaria 879"
329,66,2020-07-13,14:20:00,"Appartamento 53","Piazza Dylan 7 Piano 0"
330,66,2020-09-04,09:20:00,"Appartamento 93","Via Leone 7"
331,67,2020-01-21,12:15:00,"Appartamento 10","Incrocio Marino 49 Appartamento 33"
332,67,2020-02-08,10:45:00,"Appartamento 51","Piazza Lombardo 4"
333,67,2020-06-19,16:15:00,"Appartamento 84","Incrocio Damico 553"
334,67,2020-07-08,14:20:00,"Piano 1","Borgo Rita 343 Piano 6"
335,67,2020-09-09,14:20:00,"Appartamento 97","Strada Pellegrino 7"
336,68,2020-01-18,12:20:00,"Piano 2","Via Piras 98 Appartamento 91"
337,68,2020-02-06,10:45:00,"Piano 1","Strada Rebecca 5"
338,68,2020-06-20,13:15:00,"Appartamento 99","Piazza Xavier 66"
339,68,2020-07-08,16:45:00,"Piano 8","Piazza Valentini 5"
340,68,2020-09-23,13:00:00,"Piano 4","Piazza D'angelo 63 Appartamento 89"
341,69,2020-01-21,12:45:00,"Appartamento 11","Contrada Neri 78 Appartamento 98"
342,69,2020-02-04,12:15:00,"Piano 9","Via Olo 5"
